fam239b,0
glidr,1
ac005828.4,2
linc01006,3
ac008764.10,4
ac100793.2,5
al117329.1,6
ac103591.3,7
al591845.1,8
psmd6-as2,9
ac022498.2,10
al118506.1,11
al359921.2,12
ap000593.3,13
linc01705,14
al359258.3,15
ap000350.6,16
ac024884.2,17
ac027237.4,18
malinc1,19
zeb1,20
bola3-as1,21
ap003031.2,22
z82243.1,23
ac069120.1,24
al451165.2,25
al022311.1,26
al132780.2,27
ac062029.1,28
al157392.3,29
rp11-395p13.2,30
ac005280.3,31
hellpar,32
ac010624.2,33
ac005076.1,34
dapk1-it1,35
ac010680.2,36
ac092435.3,37
linc01619,38
ac068790.5,39
hla-f-as1,40
bcrp3,41
ap001033.2,42
ac011468.1,43
linc01303,44
ac009120.2,45
ac005332.4,46
ap001619.1,47
ac027031.2,48
raly-as1,49
ac003102.1,50
hotairm1,51
ac046143.1,52
al139099.4,53
blacat1,54
rparp-as1,55
hcg25,56
ac011270.2,57
ac007384.1,58
ac011444.1,59
ac009948.5,60
al033397.1,61
al359962.2,62
linc01511,63
ac084082.1,64
gas1rr,65
casc2,66
mir4713hg,67
ac007541.1,68
ac020923.1,69
ac011008.2,70
al139390.1,71
ac004972.1,72
ac090948.2,73
c20orf197,74
linc00895,75
ac034111.1,76
bx324167.2,77
ccdc144nl-as1,78
al031779.1,79
ac126474.2,80
linc01305,81
al589863.1,82
ap000542.2,83
ac025423.4,84
al031985.3,85
ac040970.1,86
ac010148.1,87
ac087623.3,88
linc01787,89
ttty12,90
al136040.1,91
ac068768.1,92
linc01139,93
ac104982.1,94
mir663ahg,95
ac006449.5,96
ac083798.2,97
al445673.1,98
ac136621.1,99
al159152.1,100
al691432.2,101
ap001453.1,102
al021707.3,103
al591485.1,104
ten1-cdk3,105
ac005899.4,106
prr34-as1,107
ac138430.1,108
al162595.2,109
ac083906.3,110
ac103760.1,111
ac090159.1,112
ac019205.1,113
mir4453hg,114
al445524.1,115
ac016968.1,116
tmem161b-as1,117
ap000842.3,118
c8orf31,119
ac025165.5,120
ac025263.1,121
hoxa-as3,122
linc00494,123
ubr5-as1,124
acoxl-as1,125
aatbc,126
al024507.2,127
linc02570,128
ac074117.1,129
ac005332.6,130
e2f3-it1,131
ac067931.1,132
linc00654,133
ac126696.2,134
ac012236.1,135
ac009269.5,136
egot,137
ac004067.1,138
al161733.1,139
ac010530.1,140
linc01654,141
al445231.1,142
linc00460,143
ac109326.1,144
snhg25,145
ac010624.1,146
ac008982.2,147
ac016903.1,148
ac133552.5,149
ac008608.2,150
ac105235.1,151
ac011900.1,152
fer1l6-as1,153
tmcc1-as1,154
ac006455.5,155
ac068152.1,156
linc00963,157
ac136443.3,158
acap2-it1,159
al365318.1,160
rgmb-as1,161
ap003170.4,162
large-it1,163
ac037487.4,164
linc02249,165
al445222.1,166
ac009283.1,167
ac009118.2,168
prkag2-as1,169
mrvi1-as1,170
ac004540.1,171
af131216.1,172
ac006058.3,173
al133551.1,174
ac124312.4,175
ac027277.2,176
ac011462.4,177
linc00466,178
adora2a-as1,179
cyp4a22-as1,180
linc01638,181
ac104211.1,182
ac011294.1,183
ac007823.1,184
ac096536.1,185
ac104463.2,186
al360012.1,187
al158071.3,188
ac010331.1,189
al512590.3,190
ac011632.1,191
ap001469.3,192
ac079766.1,193
ac092803.2,194
linc02360,195
linc02568,196
rp11-417j8.3,197
ac091045.1,198
al356056.2,199
al691459.1,200
ac004080.5,201
ac079315.1,202
lncpress1,203
linc01535,204
linc00649,205
al583810.2,206
meox2-as1,207
ac005730.3,208
al161891.1,209
af111167.2,210
ac109322.1,211
ac107032.2,212
pard6g-as1,213
ac018926.2,214
mapkapk5-as1,215
al353615.1,216
ac118658.2,217
al158212.3,218
ac126755.4,219
linc01273,220
ac007342.5,221
ac087163.3,222
ac009090.3,223
ac008897.3,224
al138759.1,225
al359091.1,226
lemd1-as1,227
al139349.1,228
ac007684.1,229
linc00638,230
adamtsl4-as1,231
let,232
pcat4,233
ac114316.2,234
linc00886,235
ac104035.1,236
ac012501.1,237
chrf,238
ac020917.4,239
ac090970.3,240
mylk-as1,241
al590133.1,242
ac008124.1,243
linc01569,244
ac104794.2,245
stx18-as1,246
ac068491.4,247
ac092140.2,248
linc00467,249
ac079866.2,250
wee2-as1,251
ac104564.5,252
ac136603.1,253
ac005291.1,254
stard7-as1,255
a2m-as1,256
ac104083.1,257
pcolce-as1,258
ac010980.2,259
tsix,260
malat1,261
ac244197.2,262
kcnk15-as1,263
rundc3a-as1,264
al513123.1,265
ac008105.1,266
al133279.3,267
ac006486.2,268
linc02051,269
ac108704.2,270
nutm2a-as1,271
ac092747.4,272
linc01694,273
