hsa-mir-519e,0
hsa-mir-1225,1
hsa-miR-320a,2
hsa-mir-323b,3
hsa-mir-6749,4
hsa-mir-371a-3p,5
hsa-mir-1233-3p,6
hsa-mir-632,7
hsa-mir-26a-2-3p,8
hsa-mir-939-3p,9
hsa-mir-515-2,10
hsa-miR-3909,11
hsa-miR-372-3p,12
hsa-miR-3671,13
hsa-mir-650,14
hsa-mir-7844,15
hsa-miR-4429,16
hsa-miR-943,17
hsa-miR-3689e,18
hsa-mir-525-5p,19
hsa-miR-4504,20
hsa-mir-5000-3p,21
hsa-mir-606,22
hsa-mir-7847,23
hsa-mir-93,24
hsa-mir-629,25
hsa-mir-196b,26
hsa-mir-329-1,27
hsa-mir-4726-3p,28
hsa-miR-3621,29
hsa-mir-511,30
hsa-mir-3168,31
hsa-mir-184,32
hsa-mir-4436b-1,33
hsa-miR-4463,34
hsa-miR-3657,35
hsa-mir-1247-5p,36
hsa-miR-4262,37
hsa-mir-524,38
hsa-miR-519b-3p,39
hsa-miR-1908-3p,40
hsa-mir-3144-5p,41
hsa-mir-4665,42
hsa-mir-301a-3p,43
hsa-miR-548f-3p,44
hsa-mir-15b,45
hsa-mir-200a,46
hsa-mir-199b,47
hsa-mir-4310,48
hsa-miR-5194,49
hsa-miR-6768-3p,50
hsa-mir-221,51
hsa-miR-2117,52
hsa-miR-4716-3p,53
hsa-mir-4798,54
hsa-mir-873-5p,55
hsa-miR-4659a-3p,56
hsa-mir-564,57
hsa-miR-4785,58
hsa-mir-603,59
hsa-mir-195-5p,60
hsa-mir-3649,61
hsa-miR-5008-3p,62
hsa-mir-4292,63
hsa-miR-6827-3p,64
hsa-mir-520a-3p,65
hsa-mir-376c-3p,66
hsa-miR-4470,67
hsa-mir-941,68
hsa-miR-4503,69
hsa-mir-3126,70
hsa-miR-1255a,71
hsa-miR-6742-3p,72
hsa-miR-4491,73
hsa-miR-4753-3p,74
hsa-mir-3130-3p,75
hsa-mir-338,76
hsa-mir-2114,77
hsa-mir-4298,78
hsa-mir-8061,79
hsa-mir-148a-3p,80
hsa-mir-509-1,81
hsa-mir-519a-3p,82
hsa-miR-6772-3p,83
hsa-miR-3128,84
hsa-mir-4689,85
hsa-miR-586,86
hsa-mir-6782,87
hsa-mir-92b,88
hsa-mir-561,89
hsa-mir-4252,90
hsa-mir-1827,91
hsa-mir-518a-3p,92
hsa-mir-16-1,93
hsa-mir-345,94
hsa-mir-504,95
hsa-mir-4803,96
hsa-mir-1262,97
hsa-mir-1260b,98
hsa-miR-4676-3p,99
hsa-miR-4303,100
hsa-mir-133a-1,101
hsa-miR-4686,102
hsa-mir-892a,103
hsa-miR-3605-3p,104
hsa-miR-518f-3p,105
hsa-mir-2861,106
hsa-miR-30a-3p,107
