3195,2813
3195,2140
3195,2142
3195,2176
3195,2144
3195,2151
3195,2915
3195,2156
3195,103
3195,103
3195,2916
3195,75
3195,5
3195,2917
3195,65
3195,2164
3195,2167
3195,112
3195,2918
3195,2237
3195,2263
3230,2813
3230,2140
3230,2142
3230,2176
3230,2144
3230,2151
3230,2915
3230,103
3230,103
3230,2916
3230,75
3230,5
3230,2917
3230,2164
3230,2167
3230,112
3230,2918
3230,2918
3230,2237
3230,2263
2481,2176
2481,103
2481,2916
2481,2919
2481,2917
2481,2918
2481,2237
2481,2263
2481,2263
572,2176
572,103
572,2916
572,2917
572,2918
572,2237
572,2263
1680,2813
1680,2140
1680,2142
1680,2176
1680,2144
1680,2151
1680,2915
1680,2156
1680,103
1680,103
1680,2916
1680,5
1680,2917
1680,2164
1680,2167
1680,112
1680,2918
1680,2237
1680,2263
2105,2813
2105,2140
2105,2142
2105,2176
2105,2144
2105,2151
2105,2915
2105,2156
2105,103
2105,103
2105,2916
2105,5
2105,2917
2105,2164
2105,2167
2105,112
2105,2918
2105,2237
2105,2263
474,2813
474,2140
474,2142
474,2176
474,2144
474,2151
474,2915
474,103
474,103
474,2916
474,75
474,5
474,2917
474,2164
474,2167
474,112
474,2918
474,2237
474,2263
73,2176
73,103
73,2916
73,2917
73,2918
73,2237
73,2263
202,2176
202,103
202,2916
202,2917
202,2918
202,2237
202,2263
3847,2813
3847,2140
3847,2142
3847,2176
3847,2144
3847,2151
3847,2915
3847,2156
3847,103
3847,103
3847,2916
3847,2917
3847,2164
3847,2167
3847,2918
3847,2237
3847,2263
3672,2176
3672,103
3672,2916
3672,2917
3672,2918
3672,2237
3672,2263
3553,2176
3553,103
3553,2916
3553,2917
3553,2918
3553,2237
3553,2263
2381,1145
2381,2176
2381,2151
2381,103
2381,2916
2381,2917
2381,2918
2381,2237
2381,2263
3436,2176
3436,103
3436,2916
3436,2917
3436,2918
3436,2237
3436,2263
1151,2176
1151,103
1151,2916
1151,2917
1151,2918
1151,2237
1151,2263
1190,2176
1190,103
1190,2916
1190,2917
1190,2918
1190,2237
1190,2263
2221,2176
2221,103
2221,2916
2221,2917
2221,2918
2221,2237
2221,2263
1095,2176
1095,103
1095,2916
1095,2917
1095,2918
1095,2237
1095,2263
2881,2176
2881,103
2881,2916
2881,2917
2881,2918
2881,2237
2881,2263
1601,2176
1601,103
1601,2916
1601,2917
1601,2918
1601,2237
1601,2263
176,2176
176,103
176,2916
176,2917
176,2918
176,2237
176,2263
1722,2813
1722,2140
1722,2142
1722,2144
1722,2151
1722,2915
1722,2156
1722,103
1722,2164
1722,2167
1594,2813
1594,2140
1594,2142
1594,2176
1594,2144
1594,2151
1594,2915
1594,2156
1594,103
1594,103
1594,2916
1594,75
1594,5
1594,2917
1594,2164
1594,2167
1594,112
1594,2918
1594,2237
1594,2263
3249,1145
3249,2176
3249,103
3249,2916
3249,2917
3249,2918
3249,2237
3249,2263
3371,2813
3371,1145
3371,2140
3371,2142
3371,2176
3371,2144
3371,2151
3371,2915
3371,2156
3371,103
3371,103
3371,2916
3371,5
3371,2917
3371,2164
3371,2167
3371,2918
3371,2237
3371,2263
2141,2176
2141,103
2141,2916
2141,2917
2141,2918
2141,2237
2141,2263
2263,2813
2263,2140
2263,2142
2263,2144
2263,2151
2263,2915
2263,2156
2263,103
2263,75
2263,5
2263,2164
2263,2167
2263,112
2477,2813
2477,2140
2477,2142
2477,2176
2477,2144
2477,2151
2477,2915
2477,103
2477,103
