711,hsa-mir-107,44,smarca5,20371350,miRNEt
711,hsa-mir-107,44,smarca5,26701625,miRNEt
711,hsa-mir-107,70,mtmr3,20371350,miRNEt
711,hsa-mir-107,149,tnrc6b,23824327,miRNEt
711,hsa-mir-107,149,tnrc6b,19536157,miRNEt
711,hsa-mir-107,178,ago1,23426184,miRNEt
711,hsa-mir-107,85,ago2,23446348,miRNEt
711,hsa-mir-107,85,ago2,21572407,miRNEt
711,hsa-mir-107,85,ago2,20371350,miRNEt
711,hsa-mir-107,89,dock11,23592263,miRNEt
1535,hsa-mir-198,3,nfe2l1,23824327,miRNEt
1535,hsa-mir-198,121,mon1b,23824327,miRNEt
576,hsa-mir-147a,73,mcm3,23028679,miRNEt
576,hsa-mir-147a,0,pfn1,22012620,miRNEt
2807,hsa-mir-217,144,igf1r,26708715,miRNEt
1376,hsa-mir-137,83,golga3,22012620,miRNEt
1376,hsa-mir-137,83,golga3,21572407,miRNEt
1376,hsa-mir-137,126,sp1,26832795,miRNEt
1020,hsa-mir-184,135,akt1,27666871,miRNEt
1020,hsa-mir-184,188,ppp6r1,26701625,miRNEt
1020,hsa-mir-184,85,ago2,24361012,miRNEt
1020,hsa-mir-184,85,ago2,23696368,miRNEt
1020,hsa-mir-184,85,ago2,26701625,miRNEt
2022,hsa-mir-206,135,akt1,28386239,miRNEt
2022,hsa-mir-206,97,atp5e,23824327,miRNEt
2022,hsa-mir-206,144,igf1r,24855559,miRNEt
2022,hsa-mir-206,112,sall2,23592263,miRNEt
2022,hsa-mir-206,47,abi2,27418678,miRNEt
2283,hsa-mir-320a,129,actg1,23622248,miRNEt
2283,hsa-mir-320a,78,atp1a1,23622248,miRNEt
2283,hsa-mir-320a,155,capns1,23622248,miRNEt
2283,hsa-mir-320a,12,eef2,23622248,miRNEt
2283,hsa-mir-320a,132,mark2,23622248,miRNEt
2283,hsa-mir-320a,144,igf1r,23622248,miRNEt
2283,hsa-mir-320a,144,igf1r,24161401,miRNEt
2283,hsa-mir-320a,138,mef2d,23622248,miRNEt
2283,hsa-mir-320a,0,pfn1,26701625,miRNEt
2283,hsa-mir-320a,102,smc1a,23622248,miRNEt
2283,hsa-mir-320a,106,pip4k2b,23622248,miRNEt
2283,hsa-mir-320a,152,eif3c,23622248,miRNEt
2283,hsa-mir-320a,195,itm2b,23622248,miRNEt
2283,hsa-mir-320a,171,med12,23622248,miRNEt
2283,hsa-mir-320a,33,npm3,23446348,miRNEt
2283,hsa-mir-320a,33,npm3,21572407,miRNEt
2283,hsa-mir-320a,41,igf2bp1,23622248,miRNEt
2283,hsa-mir-320a,13,vps45,23824327,miRNEt
2283,hsa-mir-320a,149,tnrc6b,23622248,miRNEt
2283,hsa-mir-320a,178,ago1,23622248,miRNEt
2283,hsa-mir-320a,184,synj2bp,23622248,miRNEt
2283,hsa-mir-320a,5,edc3,23622248,miRNEt
2283,hsa-mir-320a,198,gxylt1,23592263,miRNEt
2106,hsa-mir-375,144,igf1r,24571711,miRNEt
2106,hsa-mir-375,30,mre11,20215506,miRNEt
2106,hsa-mir-375,170,rcn2,20215506,miRNEt
2106,hsa-mir-375,126,sp1,21945323,miRNEt
2106,hsa-mir-375,126,sp1,23435408,miRNEt
2106,hsa-mir-375,126,sp1,25633534,miRNEt
2106,hsa-mir-375,212,trps1,23824327,miRNEt
2106,hsa-mir-375,91,alms1,20215506,miRNEt
2106,hsa-mir-375,47,abi2,20215506,miRNEt
2106,hsa-mir-375,173,lman2,20215506,miRNEt
2106,hsa-mir-375,100,agtpbp1,20215506,miRNEt
2106,hsa-mir-375,57,cep19,20215506,miRNEt
1016,hsa-mir-326,129,actg1,23622248,miRNEt
1016,hsa-mir-326,135,akt1,21572407,miRNEt
1016,hsa-mir-326,126,sp1,27460077,miRNEt
1016,hsa-mir-326,178,ago1,23622248,miRNEt
1016,hsa-mir-326,67,gde1,23824327,miRNEt
1016,hsa-mir-326,67,gde1,27292025,miRNEt
1016,hsa-mir-326,20,pla2g4f,23622248,miRNEt
1760,hsa-mir-133b,135,akt1,25414595,miRNEt
1760,hsa-mir-133b,76,fosl2,23824327,miRNEt
1760,hsa-mir-133b,144,igf1r,19695767,miRNEt
1760,hsa-mir-133b,144,igf1r,24391788,miRNEt
1760,hsa-mir-133b,126,sp1,24613927,miRNEt
994,hsa-mir-325,194,mmp16,23446348,miRNEt
994,hsa-mir-325,194,mmp16,21572407,miRNEt
994,hsa-mir-325,178,ago1,22100165,miRNEt
1870,hsa-mir-346,205,gsk3b,24023731,miRNEt
734,hsa-mir-384,78,atp1a1,19536157,miRNEt
734,hsa-mir-384,212,trps1,23824327,miRNEt
2995,hsa-mir-422a,135,akt1,21572407,miRNEt
1232,hsa-mir-448,144,igf1r,27508021,miRNEt
2302,hsa-mir-429,161,fkbp5,23592263,miRNEt
2302,hsa-mir-429,126,sp1,27698878,miRNEt
2302,hsa-mir-429,47,abi2,24398324,miRNEt
2302,hsa-mir-429,56,n4bp2,22100165,miRNEt
2302,hsa-mir-429,209,znf621,22100165,miRNEt
587,hsa-mir-449a,94,map4,26701625,miRNEt
587,hsa-mir-449a,3,nfe2l1,26701625,miRNEt
587,hsa-mir-449a,99,ski,26701625,miRNEt
1813,hsa-mir-451a,135,akt1,20816946,miRNEt
2109,hsa-mir-484,82,apex1,23592263,miRNEt
2109,hsa-mir-484,82,apex1,26701625,miRNEt
2109,hsa-mir-484,78,atp1a1,23622248,miRNEt
2109,hsa-mir-484,105,brca1,23622248,miRNEt
2109,hsa-mir-484,125,cltc,23622248,miRNEt
