711,hsa-mir-107,191,linc01134,24297251,miRNEt
711,hsa-mir-107,1293,linc01343,24297251,miRNEt
711,hsa-mir-107,2459,nfia-as2,24297251,miRNEt
711,hsa-mir-107,266,mir181a1hg,24297251,miRNEt
711,hsa-mir-107,3488,mir29b2chg,24297251,miRNEt
711,hsa-mir-107,1155,pcbp1-as1,24297251,miRNEt
711,hsa-mir-107,3394,alms1-it1,24297251,miRNEt
711,hsa-mir-107,3014,cytor,24297251,miRNEt
711,hsa-mir-107,1845,pax8-as1,24297251,miRNEt
711,hsa-mir-107,1516,tex41,24297251,miRNEt
711,hsa-mir-107,591,ttn-as1,24297251,miRNEt
711,hsa-mir-107,591,ttn-as1,24297251,miRNEt
711,hsa-mir-107,1170,fgd5-as1,24297251,miRNEt
711,hsa-mir-107,286,linc00960,24297251,miRNEt
711,hsa-mir-107,2186,dubr,24297251,miRNEt
711,hsa-mir-107,873,linc02035,24297251,miRNEt
711,hsa-mir-107,1217,dlg1-as1,24297251,miRNEt
711,hsa-mir-107,3559,linc02434,24297251,miRNEt
711,hsa-mir-107,2314,slc9a3-as1,24297251,miRNEt
711,hsa-mir-107,2072,linc01848,24297251,miRNEt
711,hsa-mir-107,1708,hcg18,24297251,miRNEt
711,hsa-mir-107,3432,snhg26,24297251,miRNEt
711,hsa-mir-107,2333,hotairm1,24297251,miRNEt
711,hsa-mir-107,1269,dlx6-as1,24297251,miRNEt
711,hsa-mir-107,831,stag3l5p-pvrig2p-pilrb,24297251,miRNEt
711,hsa-mir-107,831,stag3l5p-pvrig2p-pilrb,24297251,miRNEt
711,hsa-mir-107,136,epha1-as1,24297251,miRNEt
711,hsa-mir-107,2174,rnf139-as1,24297251,miRNEt
711,hsa-mir-107,2723,linc00707,24297251,miRNEt
711,hsa-mir-107,2311,nutm2b-as1,24297251,miRNEt
711,hsa-mir-107,3255,nutm2a-as1,24297251,miRNEt
711,hsa-mir-107,3255,nutm2a-as1,24297251,miRNEt
711,hsa-mir-107,2719,rparp-as1,24297251,miRNEt
711,hsa-mir-107,689,h19,24297251,miRNEt
711,hsa-mir-107,1445,kcnq1ot1,24297251,miRNEt
711,hsa-mir-107,1445,kcnq1ot1,24297251,miRNEt
711,hsa-mir-107,1445,kcnq1ot1,24297251,miRNEt
711,hsa-mir-107,1954,linc00294,24297251,miRNEt
711,hsa-mir-107,1068,neat1,24297251,miRNEt
711,hsa-mir-107,824,linc00641,24297251,miRNEt
711,hsa-mir-107,1860,psma3-as1,24297251,miRNEt
711,hsa-mir-107,3208,meg8,24297251,miRNEt
