pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0022576	MIMAT0027363	hsa-miR-6731-5p	MIMAT0027364	hsa-miR-6731-3p
MI0000267	MIMAT0000254	hsa-miR-10b-5p	MIMAT0004556	hsa-miR-10b-3p
MI0000068	MIMAT0000067	hsa-let-7f-5p	MIMAT0004487	hsa-let-7f-2-3p
MI0026415	MIMAT0027625	hsa-miR-6862-5p	MIMAT0027626	hsa-miR-6862-3p
MI0022684	MIMAT0027578	hsa-miR-6838-5p	MIMAT0027579	hsa-miR-6838-3p
MI0016433	MIMAT0018200	hsa-miR-3925-5p	MIMAT0019228	hsa-miR-3925-3p
MI0008331	MIMAT0007884	hsa-miR-1910-5p	MIMAT0026917	hsa-miR-1910-3p
MI0014244	MIMAT0022733	hsa-miR-548x-5p	MIMAT0015081	hsa-miR-548x-3p
MI0022574	MIMAT0027359	hsa-miR-6729-5p	MIMAT0027360	hsa-miR-6729-3p
MI0022686	MIMAT0027582	hsa-miR-6840-5p	MIMAT0027583	hsa-miR-6840-3p
MI0000455	MIMAT0000430	hsa-miR-138-5p	MIMAT0004596	hsa-miR-138-2-3p
MI0002467	MIMAT0004761	hsa-miR-483-5p	MIMAT0002173	hsa-miR-483-3p
MI0000283	MIMAT0031890	hsa-miR-203a-5p	MIMAT0000264	hsa-miR-203a-3p
MI0022658	MIMAT0027526	hsa-miR-6813-5p	MIMAT0027527	hsa-miR-6813-3p
MI0017362	MIMAT0019843	hsa-miR-4725-5p	MIMAT0019844	hsa-miR-4725-3p
MI0001448	MIMAT0003393	hsa-miR-425-5p	MIMAT0001343	hsa-miR-425-3p
MI0022723	MIMAT0027652	hsa-miR-6876-5p	MIMAT0027653	hsa-miR-6876-3p
MI0022701	MIMAT0027610	hsa-miR-6855-5p	MIMAT0027611	hsa-miR-6855-3p
MI0006323	MIMAT0022943	hsa-miR-1233-5p	MIMAT0005588	hsa-miR-1233-3p
MI0003180	MIMAT0004770	hsa-miR-516a-5p	MIMAT0006778	hsa-miR-516a-3p
MI0022595	MIMAT0027400	hsa-miR-6750-5p	MIMAT0027401	hsa-miR-6750-3p
MI0007258	MIMAT0026765	hsa-miR-1537-5p	MIMAT0007399	hsa-miR-1537-3p
MI0022709	MIMAT0027625	hsa-miR-6862-5p	MIMAT0027626	hsa-miR-6862-3p
MI0003143	MIMAT0037324	hsa-miR-520e-5p	MIMAT0002825	hsa-miR-520e-3p
MI0006313	MIMAT0005576	hsa-miR-1226-5p	MIMAT0005577	hsa-miR-1226-3p
MI0022649	MIMAT0027508	hsa-miR-6804-5p	MIMAT0027509	hsa-miR-6804-3p
MI0016590	MIMAT0018349	hsa-miR-3934-5p	MIMAT0022975	hsa-miR-3934-3p
MI0022641	MIMAT0027492	hsa-miR-6796-5p	MIMAT0027493	hsa-miR-6796-3p
MI0022713	MIMAT0027632	hsa-miR-6866-5p	MIMAT0027633	hsa-miR-6866-3p
MI0003666	MIMAT0003321	hsa-miR-651-5p	MIMAT0026624	hsa-miR-651-3p
MI0017407	MIMAT0019917	hsa-miR-4766-5p	MIMAT0019918	hsa-miR-4766-3p
MI0017868	MIMAT0021023	hsa-miR-5002-5p	MIMAT0021024	hsa-miR-5002-3p
MI0014228	MIMAT0015066	hsa-miR-3065-5p	MIMAT0015378	hsa-miR-3065-3p
MI0000487	MIMAT0004614	hsa-miR-193a-5p	MIMAT0000459	hsa-miR-193a-3p
MI0014140	MIMAT0014986	hsa-miR-3124-5p	MIMAT0019200	hsa-miR-3124-3p
MI0017340	MIMAT0019807	hsa-miR-4707-5p	MIMAT0019808	hsa-miR-4707-3p
MI0017308	MIMAT0019760	hsa-miR-4677-5p	MIMAT0019761	hsa-miR-4677-3p
MI0017383	MIMAT0019876	hsa-miR-122b-5p	MIMAT0019877	hsa-miR-122b-3p
MI0005543	MIMAT0004926	hsa-miR-708-5p	MIMAT0004927	hsa-miR-708-3p
MI0014179	MIMAT0019207	hsa-miR-3152-5p	MIMAT0015025	hsa-miR-3152-3p
MI0017267	MIMAT0019699	hsa-miR-4640-5p	MIMAT0019700	hsa-miR-4640-3p
MI0022604	MIMAT0027418	hsa-miR-6759-5p	MIMAT0027419	hsa-miR-6759-3p
MI0033420	MIMAT0041623	hsa-miR-10396a-5p	MIMAT0041624	hsa-miR-10396a-3p
MI0016438	MIMAT0027037	hsa-miR-3928-5p	MIMAT0018205	hsa-miR-3928-3p
MI0000254	MIMAT0000244	hsa-miR-30c-5p	MIMAT0004550	hsa-miR-30c-2-3p
MI0005559	MIMAT0004945	hsa-miR-744-5p	MIMAT0004946	hsa-miR-744-3p
MI0003195	MIMAT0004778	hsa-miR-508-5p	MIMAT0002880	hsa-miR-508-3p
MI0003124	MIMAT0026605	hsa-miR-489-5p	MIMAT0002805	hsa-miR-489-3p
MI0022580	MIMAT0027371	hsa-miR-6735-5p	MIMAT0027372	hsa-miR-6735-3p
MI0022961	MIMAT0028117	hsa-miR-7110-5p	MIMAT0028118	hsa-miR-7110-3p
MI0000063	MIMAT0000063	hsa-let-7b-5p	MIMAT0004482	hsa-let-7b-3p
MI0006344	MIMAT0026736	hsa-miR-548e-5p	MIMAT0005874	hsa-miR-548e-3p
MI0003137	MIMAT0004767	hsa-miR-193b-5p	MIMAT0002819	hsa-miR-193b-3p
MI0000738	MIMAT0000683	hsa-miR-302a-5p	MIMAT0000684	hsa-miR-302a-3p
MI0003761	MIMAT0026636	hsa-miR-668-5p	MIMAT0003881	hsa-miR-668-3p
MI0000775	MIMAT0004686	hsa-miR-367-5p	MIMAT0000719	hsa-miR-367-3p
MI0025513	MIMAT0030417	hsa-miR-6516-5p	MIMAT0030418	hsa-miR-6516-3p
MI0019152	MIMAT0022303	hsa-miR-548av-5p	MIMAT0022304	hsa-miR-548av-3p
MI0000113	MIMAT0000103	hsa-miR-106a-5p	MIMAT0004517	hsa-miR-106a-3p
MI0005524	MIMAT0004902	hsa-miR-891a-5p	MIMAT0026717	hsa-miR-891a-3p
MI0000288	MIMAT0022695	hsa-miR-212-5p	MIMAT0000269	hsa-miR-212-3p
MI0000087	MIMAT0004503	hsa-miR-29a-5p	MIMAT0000086	hsa-miR-29a-3p
MI0022653	MIMAT0027516	hsa-miR-6808-5p	MIMAT0027517	hsa-miR-6808-3p
MI0003575	MIMAT0004794	hsa-miR-551b-5p	MIMAT0003233	hsa-miR-551b-3p
MI0006346	MIMAT0022719	hsa-miR-1285-5p	MIMAT0005876	hsa-miR-1285-3p
MI0000742	MIMAT0000685	hsa-miR-34b-5p	MIMAT0004676	hsa-miR-34b-3p
MI0003151	MIMAT0005454	hsa-miR-519b-5p	MIMAT0002837	hsa-miR-519b-3p
MI0003159	MIMAT0002847	hsa-miR-518c-5p	MIMAT0002848	hsa-miR-518c-3p
MI0017283	MIMAT0019721	hsa-miR-4655-5p	MIMAT0019722	hsa-miR-4655-3p
MI0000109	MIMAT0037306	hsa-miR-103a-1-5p	MIMAT0000101	hsa-miR-103a-3p
MI0022670	MIMAT0027550	hsa-miR-6825-5p	MIMAT0027551	hsa-miR-6825-3p
MI0000101	MIMAT0000097	hsa-miR-99a-5p	MIMAT0004511	hsa-miR-99a-3p
MI0022606	MIMAT0027422	hsa-miR-6761-5p	MIMAT0027423	hsa-miR-6761-3p
MI0022735	MIMAT0027676	hsa-miR-6888-5p	MIMAT0027677	hsa-miR-6888-3p
MI0003126	MIMAT0002807	hsa-miR-491-5p	MIMAT0004765	hsa-miR-491-3p
MI0005537	MIMAT0004916	hsa-miR-888-5p	MIMAT0004917	hsa-miR-888-3p
MI0000802	MIMAT0004692	hsa-miR-340-5p	MIMAT0000750	hsa-miR-340-3p
MI0019131	MIMAT0022265	hsa-miR-548ar-5p	MIMAT0022266	hsa-miR-548ar-3p
MI0003560	MIMAT0004792	hsa-miR-92b-5p	MIMAT0003218	hsa-miR-92b-3p
MI0019139	MIMAT0022281	hsa-miR-5583-5p	MIMAT0022282	hsa-miR-5583-3p
MI0015996	MIMAT0017983	hsa-miR-3606-5p	MIMAT0022965	hsa-miR-3606-3p
MI0006318	MIMAT0005582	hsa-miR-1228-5p	MIMAT0005583	hsa-miR-1228-3p
MI0022718	MIMAT0027642	hsa-miR-6871-5p	MIMAT0027643	hsa-miR-6871-3p
MI0003657	MIMAT0003312	hsa-miR-642a-5p	MIMAT0020924	hsa-miR-642a-3p
MI0000082	MIMAT0004498	hsa-miR-25-5p	MIMAT0000081	hsa-miR-25-3p
MI0000271	MIMAT0000258	hsa-miR-181c-5p	MIMAT0004559	hsa-miR-181c-3p
MI0000279	MIMAT0000226	hsa-miR-196a-5p	MIMAT0004562	hsa-miR-196a-3p
MI0039502	MIMAT0048639	hsa-miR-9851-5p	MIMAT0048640	hsa-miR-9851-3p
MI0000747	MIMAT0000690	hsa-miR-296-5p	MIMAT0004679	hsa-miR-296-3p
MI0003148	MIMAT0002831	hsa-miR-519c-5p	MIMAT0002832	hsa-miR-519c-3p
MI0022610	MIMAT0027430	hsa-miR-6765-5p	MIMAT0027431	hsa-miR-6765-3p
MI0022728	MIMAT0027662	hsa-miR-6881-5p	MIMAT0027663	hsa-miR-6881-3p
MI0022665	MIMAT0027540	hsa-miR-6820-5p	MIMAT0027541	hsa-miR-6820-3p
MI0006328	MIMAT0022947	hsa-miR-1238-5p	MIMAT0005593	hsa-miR-1238-3p
MI0000807	MIMAT0004696	hsa-miR-323a-5p	MIMAT0000755	hsa-miR-323a-3p
MI0006434	MIMAT0005944	hsa-miR-1252-5p	MIMAT0026744	hsa-miR-1252-3p
MI0000091	MIMAT0000091	hsa-miR-33a-5p	MIMAT0004506	hsa-miR-33a-3p
MI0016815	MIMAT0022739	hsa-miR-548aj-5p	MIMAT0018990	hsa-miR-548aj-3p
MI0022620	MIMAT0027450	hsa-miR-6775-5p	MIMAT0027451	hsa-miR-6775-3p
MI0005532	MIMAT0026718	hsa-miR-874-5p	MIMAT0004911	hsa-miR-874-3p
MI0000468	MIMAT0000441	hsa-miR-9-5p	MIMAT0000442	hsa-miR-9-3p
MI0003174	MIMAT0002851	hsa-miR-517-5p	MIMAT0002866	hsa-miR-517c-3p
MI0001721	MIMAT0001625	hsa-miR-431-5p	MIMAT0004757	hsa-miR-431-3p
MI0002471	MIMAT0026559	hsa-miR-487a-5p	MIMAT0002178	hsa-miR-487a-3p
MI0006436	MIMAT0005945	hsa-miR-1255b-5p	MIMAT0022725	hsa-miR-1255b-2-3p
MI0017388	MIMAT0019885	hsa-miR-4749-5p	MIMAT0019886	hsa-miR-4749-3p
MI0003132	MIMAT0002813	hsa-miR-493-5p	MIMAT0003161	hsa-miR-493-3p
MI0016896	MIMAT0019236	hsa-miR-4529-5p	MIMAT0019068	hsa-miR-4529-3p
MI0017319	MIMAT0019774	hsa-miR-4687-5p	MIMAT0019775	hsa-miR-4687-3p
MI0000760	MIMAT0000703	hsa-miR-361-5p	MIMAT0004682	hsa-miR-361-3p
MI0006273	MIMAT0026735	hsa-miR-1180-5p	MIMAT0005825	hsa-miR-1180-3p
MI0003596	MIMAT0004798	hsa-miR-548b-5p	MIMAT0003254	hsa-miR-548b-3p
MI0003639	MIMAT0003294	hsa-miR-625-5p	MIMAT0004808	hsa-miR-625-3p
MI0022692	MIMAT0027592	hsa-miR-6846-5p	MIMAT0027593	hsa-miR-6846-3p
MI0010634	MIMAT0011158	hsa-miR-2115-5p	MIMAT0011159	hsa-miR-2115-3p
MI0003757	MIMAT0022929	hsa-miR-758-5p	MIMAT0003879	hsa-miR-758-3p
MI0003140	MIMAT0002822	hsa-miR-512-5p	MIMAT0002823	hsa-miR-512-3p
MI0022618	MIMAT0027446	hsa-miR-6773-5p	MIMAT0027447	hsa-miR-6773-3p
MI0016760	MIMAT0019232	hsa-miR-4423-5p	MIMAT0018936	hsa-miR-4423-3p
MI0003183	MIMAT0002870	hsa-miR-499a-5p	MIMAT0004772	hsa-miR-499a-3p
MI0017259	MIMAT0022977	hsa-miR-4632-5p	MIMAT0019688	hsa-miR-4632-3p
MI0008336	MIMAT0007891	hsa-miR-1915-5p	MIMAT0007892	hsa-miR-1915-3p
MI0022720	MIMAT0027646	hsa-miR-6873-5p	MIMAT0027647	hsa-miR-6873-3p
MI0022957	MIMAT0028109	hsa-miR-7106-5p	MIMAT0028110	hsa-miR-7106-3p
MI0000460	MIMAT0004600	hsa-miR-144-5p	MIMAT0000436	hsa-miR-144-3p
MI0022628	MIMAT0027466	hsa-miR-6783-5p	MIMAT0027467	hsa-miR-6783-3p
MI0022681	MIMAT0027572	hsa-miR-6780b-5p	MIMAT0027573	hsa-miR-6780b-3p
MI0005540	MIMAT0026719	hsa-miR-889-5p	MIMAT0004921	hsa-miR-889-3p
MI0000300	MIMAT0004570	hsa-miR-223-5p	MIMAT0000280	hsa-miR-223-3p
MI0014249	MIMAT0017392	hsa-miR-3200-5p	MIMAT0015085	hsa-miR-3200-3p
MI0022579	MIMAT0027369	hsa-miR-6734-5p	MIMAT0027370	hsa-miR-6734-3p
MI0022571	MIMAT0027353	hsa-miR-6726-5p	MIMAT0027354	hsa-miR-6726-3p
MI0000815	MIMAT0000764	hsa-miR-339-5p	MIMAT0004702	hsa-miR-339-3p
MI0017380	MIMAT0019872	hsa-miR-4742-5p	MIMAT0019873	hsa-miR-4742-3p
MI0000447	MIMAT0026477	hsa-miR-128-1-5p	MIMAT0000424	hsa-miR-128-3p
MI0017343	MIMAT0019813	hsa-miR-203b-5p	MIMAT0019814	hsa-miR-203b-3p
MI0016082	MIMAT0018108	hsa-miR-3681-5p	MIMAT0018109	hsa-miR-3681-3p
MI0014143	MIMAT0014989	hsa-miR-3126-5p	MIMAT0015377	hsa-miR-3126-3p
MI0016796	MIMAT0018972	hsa-miR-548ah-5p	MIMAT0020957	hsa-miR-548ah-3p
MI0017295	MIMAT0019739	hsa-miR-4665-5p	MIMAT0019740	hsa-miR-4665-3p
MI0000825	MIMAT0000772	hsa-miR-345-5p	MIMAT0022698	hsa-miR-345-3p
MI0023615	MIMAT0028220	hsa-miR-7155-5p	MIMAT0028221	hsa-miR-7155-3p
MI0003167	MIMAT0002859	hsa-miR-516b-5p	MIMAT0002860	hsa-miR-516b-3p
MI0000442	MIMAT0000421	hsa-miR-122-5p	MIMAT0004590	hsa-miR-122-3p
MI0022704	MIMAT0027616	hsa-miR-6858-5p	MIMAT0027617	hsa-miR-6858-3p
MI0022588	MIMAT0027387	hsa-miR-6743-5p	MIMAT0027388	hsa-miR-6743-3p
MI0033418	MIMAT0041619	hsa-miR-10394-5p	MIMAT0041620	hsa-miR-10394-3p
MI0003162	MIMAT0026610	hsa-miR-519d-5p	MIMAT0002853	hsa-miR-519d-3p
MI0022644	MIMAT0027498	hsa-miR-6799-5p	MIMAT0027499	hsa-miR-6799-3p
MI0022697	MIMAT0027602	hsa-miR-6851-5p	MIMAT0027603	hsa-miR-6851-3p
MI0003530	MIMAT0026614	hsa-miR-487b-5p	MIMAT0003180	hsa-miR-487b-3p
MI0017276	MIMAT0019711	hsa-miR-4649-5p	MIMAT0019712	hsa-miR-4649-3p
MI0001518	MIMAT0001412	hsa-miR-18b-5p	MIMAT0004751	hsa-miR-18b-3p
MI0022646	MIMAT0027502	hsa-miR-6801-5p	MIMAT0027503	hsa-miR-6801-3p
MI0005562	MIMAT0026720	hsa-miR-887-5p	MIMAT0004951	hsa-miR-887-3p
MI0022678	MIMAT0027566	hsa-miR-6833-5p	MIMAT0027567	hsa-miR-6833-3p
MI0000438	MIMAT0000417	hsa-miR-15b-5p	MIMAT0004586	hsa-miR-15b-3p
MI0017433	MIMAT0019954	hsa-miR-4786-5p	MIMAT0019955	hsa-miR-4786-3p
MI0022635	MIMAT0027480	hsa-miR-6790-5p	MIMAT0027481	hsa-miR-6790-3p
MI0022706	MIMAT0027620	hsa-miR-6769b-5p	MIMAT0027621	hsa-miR-6769b-3p
MI0000475	MIMAT0000448	hsa-miR-136-5p	MIMAT0004606	hsa-miR-136-3p
MI0023566	MIMAT0025478	hsa-miR-6511a-5p	MIMAT0025479	hsa-miR-6511a-3p
MI0022601	MIMAT0027412	hsa-miR-6756-5p	MIMAT0027413	hsa-miR-6756-3p
MI0022609	MIMAT0027428	hsa-miR-6764-5p	MIMAT0027429	hsa-miR-6764-3p
MI0000251	MIMAT0026474	hsa-miR-208a-5p	MIMAT0000241	hsa-miR-208a-3p
MI0017425	MIMAT0019940	hsa-miR-4436b-5p	MIMAT0019941	hsa-miR-4436b-3p
MI0022623	MIMAT0027456	hsa-miR-6778-5p	MIMAT0027457	hsa-miR-6778-3p
MI0000787	MIMAT0000733	hsa-miR-379-5p	MIMAT0004690	hsa-miR-379-3p
MI0003677	MIMAT0026626	hsa-miR-655-5p	MIMAT0003331	hsa-miR-655-3p
MI0022212	MIMAT0025456	hsa-miR-548az-5p	MIMAT0025457	hsa-miR-548az-3p
MI0003188	MIMAT0002874	hsa-miR-503-5p	MIMAT0022925	hsa-miR-503-3p
MI0022964	MIMAT0028123	hsa-miR-7113-5p	MIMAT0028124	hsa-miR-7113-3p
MI0003129	MIMAT0002809	hsa-miR-146b-5p	MIMAT0004766	hsa-miR-146b-3p
MI0003612	MIMAT0004803	hsa-miR-548a-5p	MIMAT0003251	hsa-miR-548a-3p
MI0022613	MIMAT0027436	hsa-miR-6768-5p	MIMAT0027437	hsa-miR-6768-3p
MI0006349	MIMAT0005878	hsa-miR-1287-5p	MIMAT0026738	hsa-miR-1287-3p
MI0022741	MIMAT0027688	hsa-miR-6894-5p	MIMAT0027689	hsa-miR-6894-3p
MI0017332	MIMAT0019794	hsa-miR-4699-5p	MIMAT0019795	hsa-miR-4699-3p
MI0003764	MIMAT0005458	hsa-miR-1224-5p	MIMAT0005459	hsa-miR-1224-3p
MI0022222	MIMAT0025476	hsa-miR-6510-5p	MIMAT0025477	hsa-miR-6510-3p
MI0000295	MIMAT0000275	hsa-miR-218-5p	MIMAT0004566	hsa-miR-218-2-3p
MI0017348	MIMAT0019822	hsa-miR-4714-5p	MIMAT0019823	hsa-miR-4714-3p
MI0003154	MIMAT0002841	hsa-miR-518f-5p	MIMAT0002842	hsa-miR-518f-3p
MI0014148	MIMAT0014995	hsa-miR-3130-5p	MIMAT0014994	hsa-miR-3130-3p
MI0017376	MIMAT0019866	hsa-miR-4738-5p	MIMAT0019867	hsa-miR-4738-3p
MI0003587	MIMAT0026617	hsa-miR-580-5p	MIMAT0003245	hsa-miR-580-3p
MI0000075	MIMAT0004492	hsa-miR-19b-2-5p	MIMAT0000074	hsa-miR-19b-3p
MI0018166	MIMAT0021117	hsa-miR-5187-5p	MIMAT0021118	hsa-miR-5187-3p
MI0016687	MIMAT0022737	hsa-miR-550b-2-5p	MIMAT0018445	hsa-miR-550b-3p
MI0023564	MIMAT0025478	hsa-miR-6511a-5p	MIMAT0025479	hsa-miR-6511a-3p
MI0017447	MIMAT0019223	hsa-miR-3688-5p	MIMAT0018116	hsa-miR-3688-3p
MI0019134	MIMAT0022271	hsa-miR-664b-5p	MIMAT0022272	hsa-miR-664b-3p
MI0017875	MIMAT0021037	hsa-miR-548ap-5p	MIMAT0021038	hsa-miR-548ap-3p
MI0025510	MIMAT0030411	hsa-miR-7843-5p	MIMAT0030412	hsa-miR-7843-3p
MI0017351	MIMAT0019828	hsa-miR-3529-5p	MIMAT0022741	hsa-miR-3529-3p
MI0000274	MIMAT0004561	hsa-miR-187-5p	MIMAT0000262	hsa-miR-187-3p
MI0003599	MIMAT0004799	hsa-miR-589-5p	MIMAT0003256	hsa-miR-589-3p
MI0003836	MIMAT0022714	hsa-miR-766-5p	MIMAT0003888	hsa-miR-766-3p
MI0017359	MIMAT0019838	hsa-miR-4723-5p	MIMAT0019839	hsa-miR-4723-3p
MI0003591	MIMAT0003249	hsa-miR-584-5p	MIMAT0022708	hsa-miR-584-3p
MI0014206	MIMAT0001630	hsa-miR-323b-5p	MIMAT0015050	hsa-miR-323b-3p
MI0016007	MIMAT0017997	hsa-miR-3617-5p	MIMAT0022966	hsa-miR-3617-3p
MI0016891	MIMAT0019062	hsa-miR-4524a-5p	MIMAT0019063	hsa-miR-4524a-3p
MI0017316	MIMAT0019769	hsa-miR-4684-5p	MIMAT0019770	hsa-miR-4684-3p
MI0000060	MIMAT0000062	hsa-let-7a-5p	MIMAT0004481	hsa-let-7a-3p
MI0001726	MIMAT0026555	hsa-miR-329-5p	MIMAT0001629	hsa-miR-329-3p
MI0006384	MIMAT0032029	hsa-miR-1249-5p	MIMAT0005901	hsa-miR-1249-3p
MI0022583	MIMAT0027377	hsa-miR-6738-5p	MIMAT0027378	hsa-miR-6738-3p
MI0017326	MIMAT0019784	hsa-miR-4693-5p	MIMAT0019785	hsa-miR-4693-3p
MI0000094	MIMAT0004508	hsa-miR-92a-2-5p	MIMAT0000092	hsa-miR-92a-3p
MI0017442	MIMAT0019968	hsa-miR-4795-5p	MIMAT0019969	hsa-miR-4795-3p
MI0033423	MIMAT0041629	hsa-miR-10399-5p	MIMAT0041630	hsa-miR-10399-3p
MI0006386	MIMAT0005903	hsa-miR-1251-5p	MIMAT0026741	hsa-miR-1251-3p
MI0003171	MIMAT0005456	hsa-miR-518d-5p	MIMAT0002864	hsa-miR-518d-3p
MI0019145	MIMAT0022291	hsa-miR-548au-5p	MIMAT0022292	hsa-miR-548au-3p
MI0016068	MIMAT0018089	hsa-miR-3667-5p	MIMAT0018090	hsa-miR-3667-3p
MI0017395	MIMAT0019895	hsa-miR-4755-5p	MIMAT0019896	hsa-miR-4755-3p
MI0017324	MIMAT0019781	hsa-miR-4691-5p	MIMAT0019782	hsa-miR-4691-3p
MI0000433	MIMAT0000414	hsa-let-7g-5p	MIMAT0004584	hsa-let-7g-3p
MI0022217	MIMAT0025466	hsa-miR-6505-5p	MIMAT0025467	hsa-miR-6505-3p
MI0022673	MIMAT0027556	hsa-miR-6828-5p	MIMAT0027557	hsa-miR-6828-3p
MI0000782	MIMAT0000727	hsa-miR-374a-5p	MIMAT0004688	hsa-miR-374a-3p
MI0017337	MIMAT0019803	hsa-miR-4704-5p	MIMAT0019804	hsa-miR-4704-3p
MI0000791	MIMAT0000738	hsa-miR-383-5p	MIMAT0026485	hsa-miR-383-3p
MI0017280	MIMAT0019716	hsa-miR-4652-5p	MIMAT0019717	hsa-miR-4652-3p
MI0019136	MIMAT0022275	hsa-miR-5581-5p	MIMAT0022276	hsa-miR-5581-3p
MI0014137	MIMAT0019199	hsa-miR-3121-5p	MIMAT0014983	hsa-miR-3121-3p
MI0014204	MIMAT0019214	hsa-miR-3173-5p	MIMAT0015048	hsa-miR-3173-3p
MI0022227	MIMAT0025486	hsa-miR-6515-5p	MIMAT0025487	hsa-miR-6515-3p
MI0003834	MIMAT0003886	hsa-miR-769-5p	MIMAT0003887	hsa-miR-769-3p
MI0022650	MIMAT0027510	hsa-miR-6805-5p	MIMAT0027511	hsa-miR-6805-3p
MI0022586	MIMAT0027383	hsa-miR-6741-5p	MIMAT0027384	hsa-miR-6741-3p
MI0001723	MIMAT0026554	hsa-miR-433-5p	MIMAT0001627	hsa-miR-433-3p
MI0017301	MIMAT0019750	hsa-miR-4670-5p	MIMAT0019751	hsa-miR-4670-3p
MI0014211	MIMAT0019215	hsa-miR-3177-5p	MIMAT0015054	hsa-miR-3177-3p
MI0033426	MIMAT0041635	hsa-miR-10396b-5p	MIMAT0041636	hsa-miR-10396b-3p
MI0017323	MIMAT0019779	hsa-miR-4690-5p	MIMAT0019780	hsa-miR-4690-3p
MI0022674	MIMAT0027558	hsa-miR-6829-5p	MIMAT0027559	hsa-miR-6829-3p
MI0000434	MIMAT0000415	hsa-let-7i-5p	MIMAT0004585	hsa-let-7i-3p
MI0003633	MIMAT0026622	hsa-miR-619-5p	MIMAT0003288	hsa-miR-619-3p
MI0017869	MIMAT0021025	hsa-miR-5003-5p	MIMAT0021026	hsa-miR-5003-3p
MI0014229	MIMAT0015067	hsa-miR-3186-5p	MIMAT0015068	hsa-miR-3186-3p
MI0022632	MIMAT0027474	hsa-miR-6787-5p	MIMAT0027475	hsa-miR-6787-3p
MI0000472	MIMAT0004604	hsa-miR-127-5p	MIMAT0000446	hsa-miR-127-3p
MI0033416	MIMAT0041615	hsa-miR-10392-5p	MIMAT0041616	hsa-miR-10392-3p
MI0006271	MIMAT0022940	hsa-miR-1178-5p	MIMAT0005823	hsa-miR-1178-3p
MI0019133	MIMAT0022269	hsa-miR-5579-5p	MIMAT0022270	hsa-miR-5579-3p
MI0022648	MIMAT0027506	hsa-miR-6803-5p	MIMAT0027507	hsa-miR-6803-3p
MI0017278	MIMAT0019713	hsa-miR-4650-5p	MIMAT0019714	hsa-miR-4650-3p
MI0015873	MIMAT0016895	hsa-miR-2355-5p	MIMAT0017950	hsa-miR-2355-3p
MI0003200	MIMAT0022702	hsa-miR-514a-5p	MIMAT0002883	hsa-miR-514a-3p
MI0000273	MIMAT0000261	hsa-miR-183-5p	MIMAT0004560	hsa-miR-183-3p
MI0022740	MIMAT0027686	hsa-miR-6893-5p	MIMAT0027687	hsa-miR-6893-3p
MI0000445	MIMAT0004591	hsa-miR-124-5p	MIMAT0000422	hsa-miR-124-3p
MI0006340	MIMAT0005871	hsa-miR-1207-5p	MIMAT0005872	hsa-miR-1207-3p
MI0003782	MIMAT0006789	hsa-miR-1468-5p	MIMAT0026638	hsa-miR-1468-3p
MI0017297	MIMAT0019743	hsa-miR-4667-5p	MIMAT0019744	hsa-miR-4667-3p
MI0022708	MIMAT0027623	hsa-miR-6861-5p	MIMAT0027624	hsa-miR-6861-3p
MI0022584	MIMAT0027379	hsa-miR-6739-5p	MIMAT0027380	hsa-miR-6739-3p
MI0000093	MIMAT0004507	hsa-miR-92a-1-5p	MIMAT0000092	hsa-miR-92a-3p
MI0022676	MIMAT0027562	hsa-miR-6831-5p	MIMAT0027563	hsa-miR-6831-3p
MI0022600	MIMAT0027410	hsa-miR-6755-5p	MIMAT0027411	hsa-miR-6755-3p
MI0003165	MIMAT0002851	hsa-miR-517-5p	MIMAT0002857	hsa-miR-517b-3p
MI0023617	MIMAT0028224	hsa-miR-7157-5p	MIMAT0028225	hsa-miR-7157-3p
MI0033424	MIMAT0041631	hsa-miR-10400-5p	MIMAT0041632	hsa-miR-10400-3p
MI0000111	MIMAT0000102	hsa-miR-105-5p	MIMAT0004516	hsa-miR-105-3p
MI0022659	MIMAT0027528	hsa-miR-6814-5p	MIMAT0027529	hsa-miR-6814-3p
MI0022651	MIMAT0027512	hsa-miR-6806-5p	MIMAT0027513	hsa-miR-6806-3p
MI0022616	MIMAT0027442	hsa-miR-6771-5p	MIMAT0027443	hsa-miR-6771-3p
MI0000764	MIMAT0003385	hsa-miR-363-5p	MIMAT0000707	hsa-miR-363-3p
MI0023622	MIMAT0002177	hsa-miR-486-5p	MIMAT0004762	hsa-miR-486-3p
MI0017289	MIMAT0019729	hsa-miR-4661-5p	MIMAT0019730	hsa-miR-4661-3p
MI0000812	MIMAT0004700	hsa-miR-331-5p	MIMAT0000760	hsa-miR-331-3p
MI0039499	MIMAT0048633	hsa-miR-3059-5p	MIMAT0048634	hsa-miR-3059-3p
MI0003153	MIMAT0005449	hsa-miR-523-5p	MIMAT0002840	hsa-miR-523-3p
MI0017281	MIMAT0019718	hsa-miR-4653-5p	MIMAT0019719	hsa-miR-4653-3p
MI0000790	MIMAT0000737	hsa-miR-382-5p	MIMAT0022697	hsa-miR-382-3p
MI0000103	MIMAT0004513	hsa-miR-101-5p	MIMAT0000099	hsa-miR-101-3p
MI0022626	MIMAT0027462	hsa-miR-6781-5p	MIMAT0027463	hsa-miR-6781-3p
MI0023612	MIMAT0028214	hsa-miR-7152-5p	MIMAT0028215	hsa-miR-7152-3p
