pre_miRNA	arm_5p_acc	arm_5p_name	arm_3p_acc	arm_3p_name
MI0022642	MIMAT0027494	hsa-miR-6797-5p	MIMAT0027495	hsa-miR-6797-3p
MI0033425	MIMAT0041633	hsa-miR-10401-5p	MIMAT0041634	hsa-miR-10401-3p
MI0003164	MIMAT0002855	hsa-miR-520d-5p	MIMAT0002856	hsa-miR-520d-3p
MI0022585	MIMAT0027381	hsa-miR-6740-5p	MIMAT0027382	hsa-miR-6740-3p
MI0002469	MIMAT0002175	hsa-miR-485-5p	MIMAT0002176	hsa-miR-485-3p
MI0003190	MIMAT0004776	hsa-miR-505-5p	MIMAT0002876	hsa-miR-505-3p
MI0022702	MIMAT0027612	hsa-miR-6856-5p	MIMAT0027613	hsa-miR-6856-3p
MI0000444	MIMAT0004591	hsa-miR-124-5p	MIMAT0000422	hsa-miR-124-3p
MI0017873	MIMAT0021033	hsa-miR-5006-5p	MIMAT0021034	hsa-miR-5006-3p
MI0019306	MIMAT0027103	hsa-miR-5699-5p	MIMAT0022492	hsa-miR-5699-3p
MI0005566	MIMAT0004955	hsa-miR-374b-5p	MIMAT0004956	hsa-miR-374b-3p
MI0000298	MIMAT0004568	hsa-miR-221-5p	MIMAT0000278	hsa-miR-221-3p
MI0000097	MIMAT0026473	hsa-miR-95-5p	MIMAT0000094	hsa-miR-95-3p
MI0000809	MIMAT0004697	hsa-miR-151a-5p	MIMAT0000757	hsa-miR-151a-3p
MI0022216	MIMAT0025464	hsa-miR-6504-5p	MIMAT0025465	hsa-miR-6504-3p
MI0023613	MIMAT0028216	hsa-miR-7153-5p	MIMAT0028217	hsa-miR-7153-3p
MI0006419	MIMAT0022724	hsa-miR-1277-5p	MIMAT0005933	hsa-miR-1277-3p
MI0017345	MIMAT0019816	hsa-miR-4711-5p	MIMAT0019817	hsa-miR-4711-3p
MI0000102	MIMAT0000098	hsa-miR-100-5p	MIMAT0004512	hsa-miR-100-3p
MI0019114	MIMAT0022255	hsa-miR-4524b-5p	MIMAT0022256	hsa-miR-4524b-3p
MI0000078	MIMAT0004495	hsa-miR-22-5p	MIMAT0000077	hsa-miR-22-3p
MI0023623	MIMAT0028234	hsa-miR-7162-5p	MIMAT0028235	hsa-miR-7162-3p
MI0003152	MIMAT0002838	hsa-miR-525-5p	MIMAT0002839	hsa-miR-525-3p
MI0000813	MIMAT0000761	hsa-miR-324-5p	MIMAT0000762	hsa-miR-324-3p
MI0016004	MIMAT0017992	hsa-miR-3614-5p	MIMAT0017993	hsa-miR-3614-3p
MI0022226	MIMAT0025484	hsa-miR-6514-5p	MIMAT0025485	hsa-miR-6514-3p
MI0000749	MIMAT0000692	hsa-miR-30e-5p	MIMAT0000693	hsa-miR-30e-3p
MI0019137	MIMAT0022277	hsa-miR-548at-5p	MIMAT0022278	hsa-miR-548at-3p
MI0014136	MIMAT0019198	hsa-miR-3120-5p	MIMAT0014982	hsa-miR-3120-3p
MI0006403	MIMAT0005920	hsa-miR-1266-5p	MIMAT0026742	hsa-miR-1266-3p
MI0017336	MIMAT0019801	hsa-miR-4703-5p	MIMAT0019802	hsa-miR-4703-3p
MI0019151	MIMAT0022301	hsa-miR-5591-5p	MIMAT0022302	hsa-miR-5591-3p
MI0017317	MIMAT0019771	hsa-miR-4685-5p	MIMAT0019772	hsa-miR-4685-3p
MI0016006	MIMAT0017995	hsa-miR-3616-5p	MIMAT0017996	hsa-miR-3616-3p
MI0022224	MIMAT0025480	hsa-miR-6512-5p	MIMAT0025481	hsa-miR-6512-3p
MI0003762	MIMAT0020925	hsa-miR-550a-3-5p	MIMAT0003257	hsa-miR-550a-3p
MI0017428	MIMAT0019946	hsa-miR-4783-5p	MIMAT0019947	hsa-miR-4783-3p
MI0017334	MIMAT0019798	hsa-miR-4701-5p	MIMAT0019799	hsa-miR-4701-3p
MI0003185	MIMAT0002872	hsa-miR-501-5p	MIMAT0004774	hsa-miR-501-3p
MI0003814	MIMAT0005796	hsa-miR-1271-5p	MIMAT0022712	hsa-miR-1271-3p
