362,62
1017,62
751,62
753,62
572,62
2094,62
267,62
3609,188
2081,188
3184,188
2522,189
1499,188
3646,188
2664,188
2253,189
1105,189
1336,188
901,189
1818,189
1972,189
3015,189
246,190
1252,190
1631,190
870,190
362,190
903,190
372,190
2670,190
3036,190
1508,190
993,61
2773,61
758,107
1113,61
2592,204
9,107
362,61
622,204
3120,61
1161,204
1171,10
91,189
2593,189
944,204
3629,99
1573,99
637,62
2877,62
2746,0
2740,62
2260,0
1892,62
672,0
3291,62
2447,188
3468,134
2898,11
3179,188
3193,11
2552,11
2721,134
2474,134
2773,134
3468,64
225,143
3228,152
3238,64
3571,35
3193,129
1902,102
2632,64
28,64
452,75
1711,75
1792,75
1706,75
3187,75
3682,75
3573,75
854,75
60,75
901,14
36,14
491,14
3112,14
2138,14
2793,14
1058,14
1877,21
3468,21
3549,21
1379,21
2821,21
993,21
2153,149
1080,149
1953,143
491,94
2051,138
404,42
462,42
3146,42
2365,42
151,42
121,35
3103,42
3363,30
3698,0
753,32
1473,15
1416,122
1291,58
1161,58
2615,122
291,58
834,143
3097,143
1631,122
216,58
3665,143
3729,122
3402,4
3046,72
1534,115
2692,86
65,86
396,4
895,89
942,216
333,4
3103,206
2375,87
2730,89
339,89
906,4
66,4
66,25
206,22
1861,191
3103,143
2683,25
3409,25
2739,60
2392,82
2854,126
1473,60
3120,113
2245,22
3319,143
2922,126
2670,6
178,42
1609,58
1316,68
2994,142
2817,139
3159,42
2999,108
3698,112
1472,138
3046,138
3151,138
508,86
1929,82
2503,138
65,206
2807,49
3106,206
1807,206
3471,64
2817,173
2607,204
831,64
3040,64
1192,204
1080,37
3016,16
662,61
1171,109
291,148
2822,44
2075,73
934,73
1508,73
1093,44
3000,44
1971,44
2898,44
3055,44
2929,73
1113,44
103,73
80,68
2689,209
3043,68
2417,209
117,68
3580,68
2521,3
1877,3
638,191
179,112
3291,112
3232,62
1469,15
2906,107
3737,107
2015,62
2703,68
3399,68
3013,68
2552,68
121,68
372,68
1548,68
2993,68
2614,68
2560,122
753,117
121,122
231,55
3468,55
3024,203
847,48
1129,122
121,206
1289,48
1818,192
2420,64
3638,16
3437,64
136,16
3468,87
